model,arm,diagnostic_type,n,rate
haiku,lineage_aware,channel_region,7,0.0
haiku,lineage_aware,compound_multi_cause,3,1.0
haiku,lineage_aware,decoy_mixshift,4,0.25
haiku,lineage_aware,decoy_seasonal,4,1.0
haiku,lineage_aware,fillrate,7,0.429
haiku,lineage_aware,gross_vs_net,7,0.571
haiku,lineage_aware,healthy_no_issue,3,1.0
haiku,lineage_aware,lineage_gap,7,0.0
haiku,lineage_aware,price_vs_volume,7,0.429
haiku,lineage_aware,sku_breakdown,7,0.429
haiku,lineage_iterative,channel_region,7,0.714
haiku,lineage_iterative,compound_multi_cause,3,1.0
haiku,lineage_iterative,decoy_mixshift,4,0.75
haiku,lineage_iterative,decoy_seasonal,4,1.0
haiku,lineage_iterative,fillrate,7,1.0
haiku,lineage_iterative,gross_vs_net,7,1.0
haiku,lineage_iterative,healthy_no_issue,3,0.333
haiku,lineage_iterative,lineage_gap,7,0.143
haiku,lineage_iterative,price_vs_volume,7,0.286
haiku,lineage_iterative,sku_breakdown,7,0.857
haiku,naive,channel_region,7,0.286
haiku,naive,compound_multi_cause,3,1.0
haiku,naive,decoy_mixshift,4,0.25
haiku,naive,decoy_seasonal,4,1.0
haiku,naive,fillrate,7,0.0
haiku,naive,gross_vs_net,7,0.857
haiku,naive,healthy_no_issue,3,1.0
haiku,naive,lineage_gap,7,0.143
haiku,naive,price_vs_volume,7,0.286
haiku,naive,sku_breakdown,7,0.571
haiku,schema_aware,channel_region,7,0.0
haiku,schema_aware,compound_multi_cause,3,1.0
haiku,schema_aware,decoy_mixshift,4,0.25
haiku,schema_aware,decoy_seasonal,4,0.75
haiku,schema_aware,fillrate,7,0.429
haiku,schema_aware,gross_vs_net,7,0.714
haiku,schema_aware,healthy_no_issue,3,0.667
haiku,schema_aware,lineage_gap,7,0.143
haiku,schema_aware,price_vs_volume,7,0.429
haiku,schema_aware,sku_breakdown,7,0.571
sonnet,lineage_aware,channel_region,7,0.429
sonnet,lineage_aware,compound_multi_cause,3,0.667
sonnet,lineage_aware,decoy_mixshift,4,0.5
sonnet,lineage_aware,decoy_seasonal,4,1.0
sonnet,lineage_aware,fillrate,7,0.714
sonnet,lineage_aware,gross_vs_net,7,1.0
sonnet,lineage_aware,healthy_no_issue,3,0.667
sonnet,lineage_aware,lineage_gap,7,0.143
sonnet,lineage_aware,price_vs_volume,7,0.286
sonnet,lineage_aware,sku_breakdown,7,0.857
sonnet,lineage_iterative,channel_region,7,0.714
sonnet,lineage_iterative,compound_multi_cause,3,1.0
sonnet,lineage_iterative,decoy_mixshift,4,0.75
sonnet,lineage_iterative,decoy_seasonal,4,1.0
sonnet,lineage_iterative,fillrate,7,1.0
sonnet,lineage_iterative,gross_vs_net,7,1.0
sonnet,lineage_iterative,healthy_no_issue,3,0.667
sonnet,lineage_iterative,lineage_gap,7,0.571
sonnet,lineage_iterative,price_vs_volume,7,0.857
sonnet,lineage_iterative,sku_breakdown,7,1.0
sonnet,naive,channel_region,7,0.0
sonnet,naive,compound_multi_cause,3,1.0
sonnet,naive,decoy_mixshift,4,0.25
sonnet,naive,decoy_seasonal,4,1.0
sonnet,naive,fillrate,7,0.143
sonnet,naive,gross_vs_net,7,1.0
sonnet,naive,healthy_no_issue,3,0.667
sonnet,naive,lineage_gap,7,0.143
sonnet,naive,price_vs_volume,7,0.714
sonnet,naive,sku_breakdown,7,0.286
sonnet,schema_aware,channel_region,7,0.429
sonnet,schema_aware,compound_multi_cause,3,1.0
sonnet,schema_aware,decoy_mixshift,4,0.75
sonnet,schema_aware,decoy_seasonal,4,1.0
sonnet,schema_aware,fillrate,7,0.571
sonnet,schema_aware,gross_vs_net,7,0.857
sonnet,schema_aware,healthy_no_issue,3,0.667
sonnet,schema_aware,lineage_gap,7,0.286
sonnet,schema_aware,price_vs_volume,7,0.571
sonnet,schema_aware,sku_breakdown,7,0.571
