ecom_pid,sku_id
CW500003,BI100007
CW500006,BI100014
CW500009,BI100021
CW500012,BI100028
CW500015,BI100035
CW500018,BI100042
CW500021,BI100049
CW500024,BI100056
CW500027,BI100063
CW500030,BI100070
CW500033,BI100077
CW500036,BI100084
CW500039,BI100091
CW500042,BI100098
CW500045,BI100105
CW500048,BI100112
CW500051,BI100119
CW500054,BI100126
CW500057,BI100133
CW500060,BI100140
CW500063,BI100147
CW500066,BI100154
CW500069,BI100161
CW500072,BI100168
CW500075,BI100175
CW500078,BI100182
CW500081,BI100189
CW500084,BI100196
CW500087,BI100203
CW500090,BI100210
CW500093,BI100217
CW500096,BI100224
