sku_id,species,family,modality,variant,base_unit_price
BI100007,equine,dewormer,OTC,1,23.16
BI100014,equine,dewormer,OTC,2,51.05
BI100021,equine,joint_supplement,OTC,1,188.58
BI100028,equine,joint_supplement,OTC,2,59.14
BI100035,equine,vaccine,Rx,1,76.18
BI100042,equine,vaccine,Rx,2,186.99
BI100049,cattle,antibiotic_otc,OTC,1,136.87
BI100056,cattle,antibiotic_otc,OTC,2,165.76
BI100063,cattle,vaccine,Rx,1,66.72
BI100070,cattle,vaccine,Rx,2,96.24
BI100077,cattle,parasiticide,OTC,1,19.4
BI100084,cattle,parasiticide,OTC,2,69.35
BI100091,canine,flea_tick,OTC,1,133.38
BI100098,canine,flea_tick,OTC,2,42.76
BI100105,canine,heartworm_rx,Rx,1,198.04
BI100112,canine,heartworm_rx,Rx,2,25.06
BI100119,canine,derm_otc,OTC,1,95.07
BI100126,canine,derm_otc,OTC,2,185.5
BI100133,feline,flea_tick,OTC,1,76.34
BI100140,feline,flea_tick,OTC,2,40.06
BI100147,feline,renal_rx,Rx,1,133.0
BI100154,feline,renal_rx,Rx,2,119.7
BI100161,feline,derm_otc,OTC,1,167.14
BI100168,feline,derm_otc,OTC,2,117.93
BI100175,swine,vaccine,Rx,1,134.92
BI100182,swine,vaccine,Rx,2,103.04
BI100189,swine,antibiotic_otc,OTC,1,208.94
BI100196,swine,antibiotic_otc,OTC,2,172.65
BI100203,poultry,vaccine,Rx,1,114.87
BI100210,poultry,vaccine,Rx,2,162.61
BI100217,poultry,antibiotic_otc,OTC,1,19.1
BI100224,poultry,antibiotic_otc,OTC,2,207.87
