CHEWY_PRODUCT_PART_NUMBER,reporting_week_month,region,fill_rate,on_hand_units,forecast_units
CW500003,2024-01,NE,0.96,36,51
CW500003,2024-01,MA,0.957,62,44
CW500003,2024-01,SE,0.937,42,70
CW500003,2024-01,MW,0.971,82,45
CW500003,2024-01,TX,0.946,93,62
CW500003,2024-01,MTN,0.977,112,67
CW500003,2024-01,PSW,0.933,86,60
CW500003,2024-01,PNW,0.938,94,63
CW500003,2024-02,NE,0.953,98,56
CW500003,2024-02,MA,0.989,73,46
CW500003,2024-02,SE,0.962,41,68
CW500003,2024-02,MW,0.995,79,49
CW500003,2024-02,TX,0.931,100,73
CW500003,2024-02,MTN,0.952,129,73
CW500003,2024-02,PSW,0.99,60,59
CW500003,2024-02,PNW,0.963,91,63
CW500003,2024-03,NE,0.962,45,58
CW500003,2024-03,MA,0.978,85,62
CW500003,2024-03,SE,0.996,162,86
CW500003,2024-03,MW,1.0,75,54
CW500003,2024-03,TX,0.93,113,76
CW500003,2024-03,MTN,0.994,103,83
CW500003,2024-03,PSW,0.93,76,70
CW500003,2024-03,PNW,0.985,85,75
CW500003,2024-04,NE,0.974,130,68
CW500003,2024-04,MA,0.945,42,64
CW500003,2024-04,SE,0.944,144,101
CW500003,2024-04,MW,0.993,71,63
CW500003,2024-04,TX,0.95,122,93
CW500003,2024-04,MTN,0.951,63,104
CW500003,2024-04,PSW,0.953,89,87
CW500003,2024-04,PNW,0.996,75,81
CW500003,2024-05,NE,0.975,38,73
CW500003,2024-05,MA,0.946,75,76
CW500003,2024-05,SE,0.933,171,103
CW500003,2024-05,MW,0.959,95,70
CW500003,2024-05,TX,0.979,182,100
CW500003,2024-05,MTN,0.966,119,98
CW500003,2024-05,PSW,0.963,95,88
CW500003,2024-05,PNW,0.995,97,97
CW500003,2024-06,NE,0.975,94,78
CW500003,2024-06,MA,0.972,79,69
CW500003,2024-06,SE,0.967,85,100
CW500003,2024-06,MW,0.951,106,78
CW500003,2024-06,TX,0.997,64,99
CW500003,2024-06,MTN,0.995,71,100
CW500003,2024-06,PSW,0.992,99,88
CW500003,2024-06,PNW,0.945,138,106
CW500003,2024-07,NE,0.978,157,80
CW500003,2024-07,MA,0.954,90,75
CW500003,2024-07,SE,0.96,114,104
CW500003,2024-07,MW,0.958,137,79
CW500003,2024-07,TX,0.936,180,97
CW500003,2024-07,MTN,0.972,60,102
CW500003,2024-07,PSW,0.931,163,95
CW500003,2024-07,PNW,0.982,138,99
CW500003,2024-08,NE,0.969,99,67
CW500003,2024-08,MA,0.964,76,71
CW500003,2024-08,SE,0.94,187,107
CW500003,2024-08,MW,0.946,122,69
CW500003,2024-08,TX,0.94,162,88
CW500003,2024-08,MTN,0.957,57,103
CW500003,2024-08,PSW,0.972,151,90
CW500003,2024-08,PNW,0.963,142,93
CW500003,2024-09,NE,0.96,40,62
CW500003,2024-09,MA,0.948,44,65
CW500003,2024-09,SE,0.967,131,83
CW500003,2024-09,MW,0.942,44,65
CW500003,2024-09,TX,0.988,85,77
CW500003,2024-09,MTN,0.966,158,86
CW500003,2024-09,PSW,0.965,86,73
CW500003,2024-09,PNW,0.992,93,74
CW500003,2024-10,NE,0.975,87,54
CW500003,2024-10,MA,0.946,98,54
