CHEWY_PRODUCT_PART_NUMBER,report_month,ship_region,units_sold,ext_sales_amt,unit_price
CW500003,2024-01,NE,49,1134.84,23.16
CW500003,2024-01,MA,43,995.88,23.16
CW500003,2024-01,SE,66,1528.56,23.16
CW500003,2024-01,MW,44,1019.04,23.16
CW500003,2024-01,TX,59,1366.44,23.16
CW500003,2024-01,MTN,66,1528.56,23.16
CW500003,2024-01,PSW,56,1296.96,23.16
CW500003,2024-01,PNW,60,1389.6,23.16
CW500003,2024-02,NE,54,1250.64,23.16
CW500003,2024-02,MA,46,1065.36,23.16
CW500003,2024-02,SE,66,1528.56,23.16
CW500003,2024-02,MW,49,1134.84,23.16
CW500003,2024-02,TX,68,1574.88,23.16
CW500003,2024-02,MTN,70,1621.2,23.16
CW500003,2024-02,PSW,59,1366.44,23.16
CW500003,2024-02,PNW,61,1412.76,23.16
CW500003,2024-03,NE,56,1296.96,23.16
CW500003,2024-03,MA,61,1412.76,23.16
CW500003,2024-03,SE,86,1991.76,23.16
CW500003,2024-03,MW,54,1250.64,23.16
CW500003,2024-03,TX,71,1644.36,23.16
CW500003,2024-03,MTN,83,1922.28,23.16
CW500003,2024-03,PSW,66,1528.56,23.16
CW500003,2024-03,PNW,74,1713.84,23.16
CW500003,2024-04,NE,67,1551.72,23.16
CW500003,2024-04,MA,61,1412.76,23.16
CW500003,2024-04,SE,96,2223.36,23.16
CW500003,2024-04,MW,63,1459.08,23.16
CW500003,2024-04,TX,89,2061.24,23.16
CW500003,2024-04,MTN,99,2292.84,23.16
CW500003,2024-04,PSW,83,1922.28,23.16
CW500003,2024-04,PNW,81,1875.96,23.16
CW500003,2024-05,NE,72,1667.52,23.16
CW500003,2024-05,MA,72,1667.52,23.16
CW500003,2024-05,SE,97,2246.52,23.16
CW500003,2024-05,MW,68,1574.88,23.16
CW500003,2024-05,TX,98,2269.68,23.16
CW500003,2024-05,MTN,95,2200.2,23.16
CW500003,2024-05,PSW,85,1968.6,23.16
CW500003,2024-05,PNW,97,2246.52,23.16
CW500003,2024-06,NE,77,1783.32,23.16
CW500003,2024-06,MA,68,1574.88,23.16
CW500003,2024-06,SE,97,2246.52,23.16
CW500003,2024-06,MW,75,1737.0,23.16
CW500003,2024-06,TX,99,2292.84,23.16
CW500003,2024-06,MTN,100,2316.0,23.16
CW500003,2024-06,PSW,88,2038.08,23.16
CW500003,2024-06,PNW,101,2339.16,23.16
CW500003,2024-07,NE,79,1829.64,23.16
CW500003,2024-07,MA,72,1667.52,23.16
CW500003,2024-07,SE,100,2316.0,23.16
CW500003,2024-07,MW,76,1760.16,23.16
CW500003,2024-07,TX,91,2107.56,23.16
CW500003,2024-07,MTN,100,2316.0,23.16
CW500003,2024-07,PSW,89,2061.24,23.16
CW500003,2024-07,PNW,98,2269.68,23.16
CW500003,2024-08,NE,65,1505.4,23.16
CW500003,2024-08,MA,69,1598.04,23.16
CW500003,2024-08,SE,101,2339.16,23.16
CW500003,2024-08,MW,66,1528.56,23.16
CW500003,2024-08,TX,83,1922.28,23.16
CW500003,2024-08,MTN,99,2292.84,23.16
CW500003,2024-08,PSW,88,2038.08,23.16
CW500003,2024-08,PNW,90,2084.4,23.16
CW500003,2024-09,NE,60,1389.6,23.16
CW500003,2024-09,MA,62,1435.92,23.16
CW500003,2024-09,SE,81,1875.96,23.16
CW500003,2024-09,MW,62,1435.92,23.16
CW500003,2024-09,TX,77,1783.32,23.16
CW500003,2024-09,MTN,84,1945.44,23.16
CW500003,2024-09,PSW,71,1644.36,23.16
CW500003,2024-09,PNW,74,1713.84,23.16
CW500003,2024-10,NE,53,1227.48,23.16
CW500003,2024-10,MA,52,1204.32,23.16
CW500003,2024-10,SE,75,1737.0,23.16
CW500003,2024-10,MW,56,1296.96,23.16
CW500003,2024-10,TX,69,1598.04,23.16
CW500003,2024-10,MTN,79,1829.64,23.16
CW500003,2024-10,PSW,67,1551.72,23.16
CW500003,2024-10,PNW,66,1528.56,23.16
CW500003,2024-11,NE,51,1181.16,23.16
CW500003,2024-11,MA,48,1111.68,23.16
CW500003,2024-11,SE,62,1435.92,23.16
CW500003,2024-11,MW,48,1111.68,23.16
CW500003,2024-11,TX,58,1343.28,23.16
CW500003,2024-11,MTN,65,1505.4,23.16
CW500003,2024-11,PSW,57,1320.12,23.16
CW500003,2024-11,PNW,63,1459.08,23.16
CW500003,2024-12,NE,49,1134.84,23.16
CW500003,2024-12,MA,43,995.88,23.16
CW500003,2024-12,SE,68,1574.88,23.16
CW500003,2024-12,MW,45,1042.2,23.16
CW500003,2024-12,TX,58,1343.28,23.16
CW500003,2024-12,MTN,63,1459.08,23.16
CW500003,2024-12,PSW,57,1320.12,23.16
CW500003,2024-12,PNW,59,1366.44,23.16
CW500003,2025-01,NE,53,1227.48,23.16
CW500003,2025-01,MA,49,1134.84,23.16
CW500003,2025-01,SE,65,1505.4,23.16
CW500003,2025-01,MW,50,1158.0,23.16
CW500003,2025-01,TX,45,1229.85,27.33
CW500003,2025-01,MTN,73,1690.68,23.16
CW500003,2025-01,PSW,63,1459.08,23.16
CW500003,2025-01,PNW,61,1412.76,23.16
CW500003,2025-02,NE,54,1250.64,23.16
CW500003,2025-02,MA,52,1204.32,23.16
CW500003,2025-02,SE,73,1690.68,23.16
CW500003,2025-02,MW,57,1320.12,23.16
CW500003,2025-02,TX,50,1366.5,27.33
CW500003,2025-02,MTN,82,1899.12,23.16
CW500003,2025-02,PSW,67,1551.72,23.16
CW500003,2025-02,PNW,73,1690.68,23.16
CW500003,2025-03,NE,68,1574.88,23.16
CW500003,2025-03,MA,66,1528.56,23.16
CW500003,2025-03,SE,82,1899.12,23.16
CW500003,2025-03,MW,65,1505.4,23.16
CW500003,2025-03,TX,79,1829.64,23.16
CW500003,2025-03,MTN,90,2084.4,23.16
CW500003,2025-03,PSW,77,1783.32,23.16
CW500003,2025-03,PNW,85,1968.6,23.16
CW500003,2025-04,NE,75,1737.0,23.16
CW500003,2025-04,MA,65,1505.4,23.16
CW500003,2025-04,SE,103,2385.48,23.16
CW500003,2025-04,MW,69,1598.04,23.16
CW500003,2025-04,TX,92,2130.72,23.16
CW500003,2025-04,MTN,106,2454.96,23.16
CW500003,2025-04,PSW,87,2014.92,23.16
CW500003,2025-04,PNW,84,1945.44,23.16
CW500003,2025-05,NE,74,1713.84,23.16
CW500003,2025-05,MA,73,1690.68,23.16
CW500003,2025-05,SE,107,2478.12,23.16
CW500003,2025-05,MW,80,1852.8,23.16
CW500003,2025-05,TX,105,2431.8,23.16
CW500003,2025-05,MTN,108,2501.28,23.16
CW500003,2025-05,PSW,90,2084.4,23.16
CW500003,2025-05,PNW,94,2177.04,23.16
CW500003,2025-06,NE,87,2014.92,23.16
CW500003,2025-06,MA,79,1829.64,23.16
CW500003,2025-06,SE,112,2593.92,23.16
CW500003,2025-06,MW,79,1829.64,23.16
CW500003,2025-06,TX,110,2547.6,23.16
