vendor_part_no,period_month,store_region,qty,sales_dollars,avg_price
BI100007,2024-01,NE,26,602.16,23.16
BI100007,2024-01,MA,25,579.0,23.16
BI100007,2024-01,SE,37,856.92,23.16
BI100007,2024-01,MW,27,625.32,23.16
BI100007,2024-01,TX,36,833.76,23.16
BI100007,2024-01,MTN,39,903.24,23.16
BI100007,2024-01,PSW,33,764.28,23.16
BI100007,2024-01,PNW,33,764.28,23.16
BI100007,2024-02,NE,29,671.64,23.16
BI100007,2024-02,MA,29,671.64,23.16
BI100007,2024-02,SE,41,949.56,23.16
BI100007,2024-02,MW,28,648.48,23.16
BI100007,2024-02,TX,40,926.4,23.16
BI100007,2024-02,MTN,44,1019.04,23.16
BI100007,2024-02,PSW,40,926.4,23.16
BI100007,2024-02,PNW,40,926.4,23.16
BI100007,2024-03,NE,37,856.92,23.16
BI100007,2024-03,MA,33,764.28,23.16
BI100007,2024-03,SE,46,1065.36,23.16
BI100007,2024-03,MW,34,787.44,23.16
BI100007,2024-03,TX,42,972.72,23.16
BI100007,2024-03,MTN,52,1204.32,23.16
BI100007,2024-03,PSW,43,995.88,23.16
BI100007,2024-03,PNW,45,1042.2,23.16
BI100007,2024-04,NE,39,903.24,23.16
BI100007,2024-04,MA,40,926.4,23.16
BI100007,2024-04,SE,54,1250.64,23.16
BI100007,2024-04,MW,37,856.92,23.16
BI100007,2024-04,TX,48,1111.68,23.16
BI100007,2024-04,MTN,56,1296.96,23.16
BI100007,2024-04,PSW,46,1065.36,23.16
BI100007,2024-04,PNW,50,1158.0,23.16
BI100007,2024-05,NE,42,972.72,23.16
BI100007,2024-05,MA,45,1042.2,23.16
BI100007,2024-05,SE,61,1412.76,23.16
BI100007,2024-05,MW,44,1019.04,23.16
BI100007,2024-05,TX,59,1366.44,23.16
BI100007,2024-05,MTN,63,1459.08,23.16
BI100007,2024-05,PSW,57,1320.12,23.16
BI100007,2024-05,PNW,53,1227.48,23.16
BI100007,2024-06,NE,47,1088.52,23.16
BI100007,2024-06,MA,43,995.88,23.16
BI100007,2024-06,SE,61,1412.76,23.16
BI100007,2024-06,MW,41,949.56,23.16
BI100007,2024-06,TX,57,1320.12,23.16
BI100007,2024-06,MTN,67,1551.72,23.16
BI100007,2024-06,PSW,54,1250.64,23.16
BI100007,2024-06,PNW,61,1412.76,23.16
BI100007,2024-07,NE,45,1042.2,23.16
BI100007,2024-07,MA,43,995.88,23.16
BI100007,2024-07,SE,59,1366.44,23.16
BI100007,2024-07,MW,46,1065.36,23.16
BI100007,2024-07,TX,61,1412.76,23.16
BI100007,2024-07,MTN,61,1412.76,23.16
BI100007,2024-07,PSW,49,1134.84,23.16
BI100007,2024-07,PNW,60,1389.6,23.16
BI100007,2024-08,NE,45,1042.2,23.16
BI100007,2024-08,MA,37,856.92,23.16
BI100007,2024-08,SE,52,1204.32,23.16
BI100007,2024-08,MW,41,949.56,23.16
BI100007,2024-08,TX,55,1273.8,23.16
BI100007,2024-08,MTN,54,1250.64,23.16
BI100007,2024-08,PSW,53,1227.48,23.16
