channel,product_ref,return_month,region,return_units,return_amount
ecom_national,CW500003,2024-01,NE,1,23.16
ecom_national,CW500003,2024-01,MA,1,23.16
ecom_national,CW500003,2024-01,SE,1,23.16
ecom_national,CW500003,2024-01,MW,1,23.16
ecom_national,CW500003,2024-01,TX,1,23.16
ecom_national,CW500003,2024-01,MTN,2,46.32
ecom_national,CW500003,2024-01,PSW,1,23.16
retail,BI100007,2024-01,MA,1,23.16
retail,BI100007,2024-01,SE,1,23.16
retail,BI100007,2024-01,TX,1,23.16
retail,BI100007,2024-01,PNW,1,23.16
vet_clinic,BI100007,2024-01,TX,1,23.16
ecom_national,CW500003,2024-02,SE,2,46.32
ecom_national,CW500003,2024-02,MTN,1,23.16
ecom_national,CW500003,2024-02,PSW,1,23.16
ecom_national,CW500003,2024-02,PNW,1,23.16
retail,BI100007,2024-02,MTN,1,23.16
retail,BI100007,2024-02,PSW,1,23.16
vet_clinic,BI100007,2024-02,NE,1,23.16
vet_clinic,BI100007,2024-02,MW,1,23.16
vet_clinic,BI100007,2024-02,PSW,1,23.16
ecom_national,CW500003,2024-03,MA,1,23.16
ecom_national,CW500003,2024-03,SE,1,23.16
ecom_national,CW500003,2024-03,MTN,1,23.16
ecom_national,CW500003,2024-03,PSW,1,23.16
ecom_national,CW500003,2024-03,PNW,1,23.16
retail,BI100007,2024-03,MA,1,23.16
retail,BI100007,2024-03,SE,1,23.16
retail,BI100007,2024-03,TX,1,23.16
retail,BI100007,2024-03,MTN,1,23.16
retail,BI100007,2024-03,PNW,1,23.16
vet_clinic,BI100007,2024-03,SE,1,23.16
vet_clinic,BI100007,2024-03,PNW,1,23.16
ecom_national,CW500003,2024-04,MA,2,46.32
ecom_national,CW500003,2024-04,SE,1,23.16
ecom_national,CW500003,2024-04,MW,1,23.16
ecom_national,CW500003,2024-04,TX,2,46.32
ecom_national,CW500003,2024-04,MTN,3,69.48
ecom_national,CW500003,2024-04,PNW,2,46.32
retail,BI100007,2024-04,SE,1,23.16
retail,BI100007,2024-04,MW,1,23.16
retail,BI100007,2024-04,PNW,1,23.16
vet_clinic,BI100007,2024-04,MA,1,23.16
vet_clinic,BI100007,2024-04,MW,1,23.16
vet_clinic,BI100007,2024-04,TX,1,23.16
vet_clinic,BI100007,2024-04,MTN,1,23.16
vet_clinic,BI100007,2024-04,PNW,1,23.16
ecom_national,CW500003,2024-05,MA,1,23.16
ecom_national,CW500003,2024-05,TX,3,69.48
ecom_national,CW500003,2024-05,MTN,2,46.32
ecom_national,CW500003,2024-05,PSW,1,23.16
ecom_national,CW500003,2024-05,PNW,1,23.16
retail,BI100007,2024-05,MA,1,23.16
retail,BI100007,2024-05,SE,1,23.16
retail,BI100007,2024-05,MW,1,23.16
retail,BI100007,2024-05,TX,1,23.16
retail,BI100007,2024-05,MTN,1,23.16
retail,BI100007,2024-05,PNW,1,23.16
vet_clinic,BI100007,2024-05,MA,1,23.16
vet_clinic,BI100007,2024-05,MTN,1,23.16
ecom_national,CW500003,2024-06,MA,2,46.32
ecom_national,CW500003,2024-06,SE,3,69.48
ecom_national,CW500003,2024-06,MW,2,46.32
ecom_national,CW500003,2024-06,TX,1,23.16
ecom_national,CW500003,2024-06,PNW,3,69.48
retail,BI100007,2024-06,MA,1,23.16
retail,BI100007,2024-06,SE,1,23.16
retail,BI100007,2024-06,MW,1,23.16
retail,BI100007,2024-06,MTN,1,23.16
retail,BI100007,2024-06,PSW,1,23.16
vet_clinic,BI100007,2024-06,NE,1,23.16
vet_clinic,BI100007,2024-06,MA,1,23.16
vet_clinic,BI100007,2024-06,SE,1,23.16
vet_clinic,BI100007,2024-06,PSW,1,23.16
ecom_national,CW500003,2024-07,NE,2,46.32
ecom_national,CW500003,2024-07,SE,1,23.16
ecom_national,CW500003,2024-07,MW,1,23.16
ecom_national,CW500003,2024-07,TX,3,69.48
ecom_national,CW500003,2024-07,PSW,2,46.32
retail,BI100007,2024-07,NE,1,23.16
retail,BI100007,2024-07,MA,1,23.16
retail,BI100007,2024-07,SE,1,23.16
retail,BI100007,2024-07,MW,1,23.16
retail,BI100007,2024-07,TX,2,46.32
retail,BI100007,2024-07,PSW,1,23.16
vet_clinic,BI100007,2024-07,NE,1,23.16
vet_clinic,BI100007,2024-07,MA,1,23.16
vet_clinic,BI100007,2024-07,MTN,1,23.16
vet_clinic,BI100007,2024-07,PSW,1,23.16
vet_clinic,BI100007,2024-07,PNW,1,23.16
ecom_national,CW500003,2024-08,NE,1,23.16
ecom_national,CW500003,2024-08,MA,1,23.16
ecom_national,CW500003,2024-08,SE,1,23.16
ecom_national,CW500003,2024-08,MW,2,46.32
ecom_national,CW500003,2024-08,TX,2,46.32
ecom_national,CW500003,2024-08,MTN,2,46.32
ecom_national,CW500003,2024-08,PNW,1,23.16
retail,BI100007,2024-08,NE,1,23.16
retail,BI100007,2024-08,MA,1,23.16
retail,BI100007,2024-08,MW,1,23.16
retail,BI100007,2024-08,MTN,1,23.16
retail,BI100007,2024-08,PSW,1,23.16
retail,BI100007,2024-08,PNW,1,23.16
vet_clinic,BI100007,2024-08,SE,1,23.16
vet_clinic,BI100007,2024-08,MW,1,23.16
ecom_national,CW500003,2024-09,NE,1,23.16
ecom_national,CW500003,2024-09,SE,2,46.32
ecom_national,CW500003,2024-09,MW,2,46.32
ecom_national,CW500003,2024-09,TX,2,46.32
ecom_national,CW500003,2024-09,PSW,2,46.32
ecom_national,CW500003,2024-09,PNW,1,23.16
retail,BI100007,2024-09,SE,1,23.16
retail,BI100007,2024-09,TX,1,23.16
retail,BI100007,2024-09,MTN,1,23.16
retail,BI100007,2024-09,PNW,1,23.16
vet_clinic,BI100007,2024-09,MTN,1,23.16
ecom_national,CW500003,2024-10,NE,1,23.16
ecom_national,CW500003,2024-10,SE,2,46.32
ecom_national,CW500003,2024-10,MW,1,23.16
ecom_national,CW500003,2024-10,TX,2,46.32
ecom_national,CW500003,2024-10,MTN,2,46.32
ecom_national,CW500003,2024-10,PSW,1,23.16
retail,BI100007,2024-10,SE,1,23.16
retail,BI100007,2024-10,TX,1,23.16
vet_clinic,BI100007,2024-10,MA,1,23.16
vet_clinic,BI100007,2024-10,SE,1,23.16
vet_clinic,BI100007,2024-10,PNW,1,23.16
ecom_national,CW500003,2024-11,NE,1,23.16
ecom_national,CW500003,2024-11,MA,1,23.16
ecom_national,CW500003,2024-11,SE,1,23.16
ecom_national,CW500003,2024-11,MW,1,23.16
ecom_national,CW500003,2024-11,MTN,2,46.32
ecom_national,CW500003,2024-11,PSW,1,23.16
retail,BI100007,2024-11,TX,1,23.16
retail,BI100007,2024-11,MTN,1,23.16
retail,BI100007,2024-11,PSW,1,23.16
retail,BI100007,2024-11,PNW,1,23.16
vet_clinic,BI100007,2024-11,NE,1,23.16
vet_clinic,BI100007,2024-11,PSW,1,23.16
vet_clinic,BI100007,2024-11,PNW,1,23.16
ecom_national,CW500003,2024-12,NE,1,23.16
ecom_national,CW500003,2024-12,SE,1,23.16
ecom_national,CW500003,2024-12,MW,1,23.16
ecom_national,CW500003,2024-12,TX,1,23.16
ecom_national,CW500003,2024-12,MTN,1,23.16
ecom_national,CW500003,2024-12,PNW,1,23.16
retail,BI100007,2024-12,NE,1,23.16
